customer_id,vin,businessId,sf_account_id,asof_date,make,model,model_year,plate_type,city,country,correspondence_language,customer_type,age_band,gender,nationality_region,tenure_years,current_odometer_km,avg_daily_km_30d,avg_daily_km_180d,days_since_last_service,last_service_type,last_service_branch,total_services_lifetime,services_last_12m,avg_invoice_amt_qar_12m,no_show_count_24m,cancel_count_24m,reschedule_count_24m,warranty_active_flag,warranty_months_remaining,service_contract_flag,insurance_active_flag,open_recall_flag,open_complaint_flag,predicted_next_service_due_date,predicted_due_km,days_until_due,km_until_due,whatsapp_optin,sms_optin,email_optin,call_optin,marketing_consent,preferred_channel,preferred_language,preferred_contact_hour,last_reminder_channel,last_reminder_sent_days_ago,last_reminder_delivered,last_reminder_read,last_reminder_clicked,reminder_response_rate_12m,whatsapp_read_rate_12m,competitor_service_signal,central_block_flag,target_churn_180d,target_booked_within_14d
CUST100001,JTTL19358XXXXX001,BID200001,001xx00000000001AAA,6/22/2026,Toyota,Land Cruiser,2024,Private,Al Wakrah,QA,AR,Person,30-39,U,Europe,1,59734,69,50,150,10K_PM,West Bay,7,2,777,0,0,1,0,0,0,1,0,0,7/3/2026,60260,11,526,1,1,1,0,1,WhatsApp,AR,11,WhatsApp,7,1,1,0,0.41,0.76,0,0,0,0
CUST100002,JTTR44522XXXXX002,BID200002,001xx00000000002AAA,6/22/2026,Toyota,RAV4,2015,Rental,Doha,QA,AR,Person,60+,M,GCC,12,230000,75,85,520,60K_PM,Industrial Area,23,1,792,1,0,1,0,0,0,1,0,0,7/19/2026,232247,27,2247,1,1,1,0,1,WhatsApp,AR,18,WhatsApp,14,1,1,1,0.63,0.57,1,0,0,0
CUST100003,JTTF38080XXXXX003,BID200003,001xx00000000003AAA,6/22/2026,Toyota,Fortuner,2019,Private,Al Khor,QA,AR,Person,60+,U,GCC,6,123845,43,44,520,50K_PM,Lusail,10,1,1185,0,0,1,0,0,1,1,1,0,11/9/2026,130000,140,6155,1,0,0,1,1,WhatsApp,AR,10,WhatsApp,90,1,1,0,0.62,0.69,0,0,0,1
CUST100004,JTTC86569XXXXX004,BID200004,001xx00000000004AAA,6/22/2026,Toyota,Camry,2023,Private,Doha,QA,AR,Organization,30-39,M,SouthAsia,2,58546,37,42,60,Repair,Industrial Area,3,2,250,0,2,4,0,0,0,1,0,0,3/22/2027,70000,273,11454,1,0,1,0,1,WhatsApp,AR,18,WhatsApp,90,0,0,0,0.33,0.16,0,0,1,0
CUST100005,JTTY76244XXXXX005,BID200005,001xx00000000005AAA,6/22/2026,Toyota,Yaris,2018,Private,Doha,QA,EN,Person,30-39,M,GCC,9,126715,65,64,180,Repair,Lusail,15,1,696,0,2,0,0,0,0,1,0,0,7/20/2026,128483,28,1768,1,0,0,1,1,WhatsApp,EN,9,WhatsApp,14,1,1,1,0.32,0.64,0,0,0,0
CUST100006,JTTR39831XXXXX006,BID200006,001xx00000000006AAA,6/22/2026,Toyota,RAV4,2024,Private,Doha,QA,AR,Person,40-49,M,GCC,3,54295,81,61,520,40K_PM,Industrial Area,5,1,612,0,1,0,1,47,1,1,0,0,9/24/2026,60000,94,5705,0,0,1,1,1,Call,AR,11,Call,60,1,0,0,0.35,0.25,0,0,0,0
CUST100007,JTTL52237XXXXX007,BID200007,001xx00000000007AAA,6/22/2026,Toyota,Land Cruiser,2020,Private,Doha,QA,AR,Organization,Unknown,M,NorthAfrica,6,99727,52,41,30,30K_PM,Abu Hamour,10,2,1019,0,0,1,0,0,1,1,0,0,2/28/2027,110000,251,10273,1,1,1,0,1,SMS,AR,16,Email,14,1,0,0,0.68,0.65,0,0,0,0
CUST100008,JTTC42406XXXXX008,BID200008,001xx00000000008AAA,6/22/2026,Toyota,C-HR,2019,Commercial,Doha,QA,EN,Person,18-29,M,Levant,7,202758,69,67,90,20K_PM,Al Khor,20,0,535,0,2,2,0,0,0,1,0,0,7/16/2026,204346,24,1588,1,1,1,0,1,WhatsApp,EN,16,SMS,3,1,1,0,0.53,0.45,0,0,0,0
CUST100009,JTTC54236XXXXX009,BID200009,001xx00000000009AAA,6/22/2026,Toyota,Camry,2023,Diplomatic,Al Rayyan,QA,AR,Person,30-39,M,EastAsia,3,52363,36,45,240,20K_PM,Al Khor,7,0,708,0,0,0,1,33,0,0,0,0,7/11/2026,53197,19,834,1,0,0,1,1,WhatsApp,AR,16,WhatsApp,60,0,0,0,0.57,0.61,1,0,0,0
CUST100010,JTLR93307XXXXX010,BID200010,001xx00000000010AAA,6/22/2026,Lexus,RX,2026,Commercial,Doha,QA,EN,Person,40-49,M,Levant,0,11124,68,54,90,30K_PM,Abu Hamour,1,0,347,0,0,4,0,0,1,1,0,0,12/4/2026,20000,165,8876,1,1,0,1,1,Call,EN,9,Call,7,1,0,0,0.62,0.46,0,0,0,1
