customer_id,vin,businessId,sf_account_id,asof_date,make,model,model_year,plate_type,city,country,correspondence_language,customer_type,age_band,gender,nationality_region,tenure_years,current_odometer_km,avg_daily_km_30d,avg_daily_km_180d,days_since_last_service,last_service_type,last_service_branch,total_services_lifetime,services_last_12m,avg_invoice_amt_qar_12m,no_show_count_24m,cancel_count_24m,reschedule_count_24m,warranty_active_flag,warranty_months_remaining,service_contract_flag,insurance_active_flag,open_recall_flag,open_complaint_flag,predicted_next_service_due_date,predicted_due_km,days_until_due,km_until_due,whatsapp_optin,sms_optin,email_optin,call_optin,marketing_consent,preferred_channel,preferred_language,preferred_contact_hour,last_reminder_channel,last_reminder_sent_days_ago,last_reminder_delivered,last_reminder_read,last_reminder_clicked,reminder_response_rate_12m,whatsapp_read_rate_12m,competitor_service_signal,central_block_flag,target_churn_180d,target_booked_within_14d
CUST100001,JTTN40565XXXXX001,BID200001,001xx00000000001AAA,6/22/2026,Nissan,Navara,2023,Private,Al Rayyan,QA,AR,Person,40-49,F,EastAsia,2,2000,19,5,204,Repair,Industrial Area,1,1,1076,0,0,0,1,11,0,0,0,0,8/13/2027,10000,417,8000,0,1,1,1,1,SMS,EN,8,Call,14,1,1,1,0.26,0.00,0,0,0,0
CUST100002,JTTF21756XXXXX002,BID200002,001xx00000000002AAA,6/22/2026,Toyota,Fortuner,2015,Private,Lusail,QA,AR,Person,18-24,F,Africa,10,223406,62,73,205,30K_PM,Industrial Area,24,1,110,0,0,2,0,0,1,1,0,0,10/17/2026,230000,117,6594,1,1,1,1,1,Call,AR,19,WhatsApp,60,1,1,0,0.67,0.73,0,0,0,0
CUST100003,JTTC16703XXXXX003,BID200003,001xx00000000003AAA,6/22/2026,Toyota,Corolla,2021,Private,Al Wakrah,QA,EN,Person,50-59,F,GCC,4,76844,15,28,134,30K_PM,Lusail,9,1,502,0,1,2,0,0,0,1,0,1,11/21/2028,90000,883,13156,1,0,1,1,0,WhatsApp,EN,16,SMS,7,1,1,1,0.19,0.90,0,0,0,0
CUST100004,JTTC51460XXXXX004,BID200004,001xx00000000004AAA,6/22/2026,Toyota,Camry,2023,Private,Doha,QA,AR,Person,30-39,M,SouthAsia,1,44611,53,39,513,Repair,Lusail,6,0,585,0,0,0,0,0,0,1,0,0,6/22/2026,45560,0,949,1,1,1,1,1,WhatsApp,AR,13,WhatsApp,7,1,1,0,0.77,0.35,0,0,0,0
CUST100005,JTTC72757XXXXX005,BID200005,001xx00000000005AAA,6/22/2026,Kia,Cerato,2019,Private,Al Rayyan,QA,AR,Person,25-29,M,GCC,7,121139,23,20,151,20K_PM,The Pearl,14,2,152,0,1,0,0,0,0,1,0,0,7/8/2027,130000,381,8861,0,1,1,0,1,SMS,AR,17,SMS,3,1,0,0,0.52,0.00,0,0,1,0
CUST100006,JTTS85928XXXXX006,BID200006,001xx00000000006AAA,6/22/2026,Kia,Sportage,2020,Private,Doha,QA,AR,Person,50-59,F,SouthAsia,6,96748,59,41,149,20K_PM,The Pearl,11,2,459,0,1,0,0,0,0,1,1,0,2/6/2027,110000,229,13252,1,0,0,0,1,WhatsApp,EN,12,Email,7,1,1,0,0.47,0.81,0,0,1,0
CUST100007,JTTT43462XXXXX007,BID200007,001xx00000000007AAA,6/22/2026,Ford,Territory,2014,Private,The Pearl,QA,EN,Person,25-29,M,GCC,12,225128,43,67,183,Repair,West Bay,22,3,838,0,0,0,0,0,0,1,0,0,10/6/2026,230000,106,4872,1,0,0,1,1,WhatsApp,AR,19,SMS,14,1,0,0,0.68,0.81,1,0,0,0
CUST100008,JTTG38149XXXXX008,BID200008,001xx00000000008AAA,6/22/2026,Mercedes-Benz,GLE,2022,Private,Umm Salal,QA,EN,Organization,50-59,U,GCC,2,70866,3,21,355,Repair,Al Rayyan,5,2,309,1,0,0,1,9,0,1,0,0,7/4/2026,71110,12,244,1,0,0,0,1,WhatsApp,EN,14,SMS,60,1,0,0,0.84,0.87,0,0,1,0
CUST100009,JTTT98624XXXXX009,BID200009,001xx00000000009AAA,6/22/2026,Kia,Telluride,2018,Commercial,Al Rayyan,QA,AR,Person,30-39,F,Europe,8,161402,66,41,84,10K_PM,Industrial Area,19,1,1127,0,2,0,0,0,1,1,1,0,10/20/2026,170000,120,8598,1,1,0,1,1,WhatsApp,AR,19,SMS,90,1,0,0,0.38,0.90,0,0,0,0
CUST100010,JTTL10165XXXXX010,BID200010,001xx00000000010AAA,6/22/2026,Mitsubishi,L200,2026,Private,Lusail,QA,EN,Person,60+,M,GCC,1,5536,45,36,224,20K_PM,Lusail,4,1,630,0,0,0,1,5,0,1,0,0,5/19/2027,20000,331,14464,1,1,1,1,0,SMS,AR,19,WhatsApp,7,1,1,0,0.45,0.43,1,0,1,0
CUST100011,JTTH83803XXXXX011,BID200011,001xx00000000011AAA,6/22/2026,Toyota,Hilux,2023,Private,Al Rayyan,QA,AR,Person,50-59,M,Europe,3,63987,29,55,366,10K_PM,West Bay,8,1,680,0,0,1,1,3,0,1,0,0,1/30/2027,70000,222,6013,0,0,1,0,1,Email,AR,18,WhatsApp,120,0,0,0,0.27,0.00,0,0,0,0
CUST100012,JTTT53435XXXXX012,BID200012,001xx00000000012AAA,6/22/2026,Ford,Territory,2020,Private,Lusail,QA,AR,Person,30-39,F,GCC,4,120888,61,44,458,30K_PM,Lusail,14,0,871,1,1,1,0,0,0,0,0,0,11/20/2026,130000,151,9112,1,1,1,1,0,WhatsApp,AR,17,WhatsApp,30,1,1,0,0.82,0.91,0,0,1,0
CUST100013,JTTS88756XXXXX013,BID200013,001xx00000000013AAA,6/22/2026,Nissan,Sunny,2023,Rental,Doha,QA,EN,Person,30-39,M,SouthAsia,3,54795,22,38,35,40K_PM,Al Wakrah,7,1,739,1,0,0,1,5,0,1,0,0,6/30/2026,55191,8,396,1,1,1,0,0,WhatsApp,AR,10,WhatsApp,3,1,1,0,0.55,0.46,0,0,0,0
CUST100014,JTTA45391XXXXX014,BID200014,001xx00000000014AAA,6/22/2026,Hyundai,Accent,2024,Commercial,Doha,QA,AR,Person,30-39,M,NorthAmerica,0,43548,48,56,470,40K_PM,Industrial Area,8,1,918,0,2,0,1,13,0,1,0,0,10/15/2026,50000,115,6452,1,0,1,1,0,WhatsApp,EN,18,WhatsApp,30,0,0,0,0.11,0.99,0,0,1,0
CUST100015,JTTS72907XXXXX015,BID200015,001xx00000000015AAA,6/22/2026,Kia,Sorento,2024,Private,Umm Salal,QA,EN,Person,40-49,M,Levant,0,2000,23,5,26,AC_Service,Salwa Road,2,2,1063,0,0,0,1,21,0,1,0,0,6/13/2027,10000,356,8000,1,1,0,0,1,WhatsApp,AR,18,SMS,7,1,0,0,0.39,0.61,0,0,1,0
CUST100016,JTTP66789XXXXX016,BID200016,001xx00000000016AAA,6/22/2026,Mitsubishi,Pajero,2024,Private,Al Khor,QA,AR,Organization,40-49,M,GCC,2,26053,13,17,186,10K_PM,Industrial Area,1,1,790,0,3,1,1,26,0,1,0,0,5/19/2029,40000,1062,13947,1,1,1,1,1,Call,AR,19,WhatsApp,7,1,0,0,0.42,0.56,0,0,0,0
CUST100017,JTTX66191XXXXX017,BID200017,001xx00000000017AAA,6/22/2026,BMW,X5,2024,Private,Al Rayyan,QA,EN,Person,25-29,F,GCC,2,14102,22,9,43,10K_PM,Al Wakrah,2,1,831,2,0,0,0,0,0,1,0,0,3/26/2027,20000,277,5898,0,0,1,0,1,Email,EN,9,WhatsApp,7,1,1,0,0.31,0.00,1,0,1,0
CUST100018,JTTP84282XXXXX018,BID200018,001xx00000000018AAA,6/22/2026,Nissan,Patrol,2026,Rental,West Bay,QA,AR,Person,60+,M,GCC,0,2666,48,38,477,20K_PM,Salwa Road,2,0,838,0,0,2,1,29,0,1,0,0,11/27/2026,10000,158,7334,1,0,0,1,1,WhatsApp,AR,10,WhatsApp,14,1,1,0,0.49,0.84,0,0,1,0
CUST100019,JTTG43696XXXXX019,BID200019,001xx00000000019AAA,6/22/2026,Mercedes-Benz,GLC,2024,Rental,Doha,QA,EN,Person,40-49,M,Africa,3,68512,53,56,169,40K_PM,Al Rayyan,10,3,890,0,0,1,1,8,0,0,0,0,1/9/2027,80000,201,11488,1,0,0,1,1,WhatsApp,EN,20,WhatsApp,90,1,1,0,0.71,0.69,0,1,0,0
CUST100020,JTTS87737XXXXX020,BID200020,001xx00000000020AAA,6/22/2026,Kia,Sportage,2024,Private,Al Rayyan,QA,AR,Person,40-49,M,SouthAsia,2,2000,3,5,56,Repair,Al Wakrah,1,0,901,0,0,0,1,1,0,1,0,0,7/5/2026,3105,13,1105,1,1,0,1,0,WhatsApp,EN,17,WhatsApp,60,1,1,0,0.51,0.93,1,0,0,0
CUST100021,JTTT29825XXXXX021,BID200021,001xx00000000021AAA,6/22/2026,Ford,Territory,2025,Private,Al Khor,QA,AR,Person,30-39,F,Africa,1,2000,17,31,259,10K_PM,Lusail,4,4,726,3,0,2,1,4,0,1,0,0,10/23/2027,10000,488,8000,1,1,1,1,1,Email,AR,10,WhatsApp,30,1,1,1,0.29,0.83,0,0,1,0
CUST100022,JTTF17461XXXXX022,BID200022,001xx00000000022AAA,6/22/2026,Toyota,Fortuner,2021,Commercial,Doha,QA,AR,Person,25-29,M,Levant,5,88636,48,84,532,AC_Service,Industrial Area,8,0,758,0,0,2,0,0,0,0,0,0,1/26/2027,100000,218,11364,1,1,0,1,1,WhatsApp,AR,13,WhatsApp,90,1,1,1,0.42,0.53,0,0,1,0
CUST100023,JTT557525XXXXX023,BID200023,001xx00000000023AAA,6/22/2026,BMW,5 Series,2013,Private,Al Wakrah,QA,EN,Person,60+,F,SouthAsia,13,243725,79,65,206,AC_Service,Industrial Area,22,1,935,0,0,0,0,0,0,1,0,0,6/30/2026,244455,8,730,1,1,1,0,0,WhatsApp,EN,20,WhatsApp,14,1,1,0,0.30,0.86,0,0,1,0
